Date,download
2009-08-26,0.5
2009-08-30,1.196
2009-08-31,4.26
2009-09-05,1.5130000000000001
2009-09-06,10.495999999999999
2009-09-07,1.304
2009-09-08,1.567
2009-09-10,10.158999999999999
2009-09-11,2.577
2009-09-12,1.788
2009-09-13,2.2319999999999998
2009-09-14,0.5379999999999999
2009-09-15,0.375
2009-09-16,0.953
2009-09-19,0.331
2009-09-21,14.437999999999999
2009-09-22,1.128
2009-09-25,5.867999999999999
2009-09-26,0.98
2009-09-28,2.22
2009-09-29,0.546
2009-10-01,3.5660000000000003
2009-10-03,15.61
2009-10-07,0.391
2009-10-08,1.157
2009-10-28,1.053
2009-10-29,8.931000000000001
2009-10-31,7.899
2009-11-07,2.069
2009-11-09,16.616
2009-11-13,9.351
2009-11-14,3.4819999999999998
2009-11-15,9.183
2009-11-16,9.185
2009-11-22,8.729
2009-11-23,8.769
2009-11-24,15.825999999999999
2009-11-25,6.254
2009-11-26,3.522
2009-11-28,7.316
2009-11-29,8.83
2009-12-01,2.8710000000000004
2009-12-03,0.688
2009-12-07,1.605
2009-12-10,0.267
2009-12-12,0.721
2009-12-14,0.996
2009-12-18,1.425
2009-12-22,4.757
2009-12-23,2.76
2009-12-26,7.473
2009-12-27,3.755
2009-12-28,0.354
2009-12-29,8.377
2009-12-30,1.75
2009-12-31,13.579
2010-01-02,3.782
2010-01-03,1.506
2010-01-04,1.432
2010-01-05,1.04
2010-01-06,9.173
2010-01-07,0.5720000000000001
2010-01-08,4.948
2010-01-09,30.664
2010-01-10,1.5519999999999998
2010-01-11,8.131
2010-01-12,1.465
2010-01-13,0.868
2010-01-15,1.2670000000000001
2010-01-17,1.089
2010-01-18,20.531
2010-01-19,0.591
2010-01-20,0.9179999999999999
2010-01-21,10.442
2010-01-22,9.5
2010-01-23,1.018
2010-01-24,0.17300000000000001
2010-01-25,0.413
2010-01-26,7.312
2010-01-27,0.36
2010-01-28,1.232
2010-01-29,0.38
2010-01-30,0.28
2010-01-31,3.065
2010-02-02,0.8370000000000001
2010-02-03,1.285
2010-02-04,1.33
2010-02-05,1.0090000000000001
2010-02-06,2.219
2010-02-07,0.8859999999999999
2010-02-08,2.388
2010-02-09,1.916
2010-02-10,1.349
2010-02-11,2.546
2010-02-12,0.6629999999999999
2010-02-13,0.93
2010-02-14,1.018
2010-02-15,5.455
2010-02-16,0.14300000000000002
2010-02-17,2.2
2010-02-18,0.563
2010-02-19,1.663
2010-02-20,1.959
2010-02-21,2.6430000000000002
2010-02-22,1.1440000000000001
2010-02-23,2.073
2010-02-24,1.423
2010-02-25,2.4330000000000003
2010-02-26,2.292
2010-02-27,1.401
2010-02-28,1.082
2010-03-01,1.6469999999999998
2010-03-02,0.9259999999999999
2010-03-03,0.7390000000000001
2010-03-04,1.07
2010-03-05,1.409
2010-03-06,0.6409999999999999
2010-03-07,0.569
2010-03-08,2.122
2010-03-09,0.767
2010-03-10,0.637
2010-03-11,1.196
2010-03-12,1.709
2010-03-13,0.726
2010-03-14,0.662
2010-03-15,0.6579999999999999
2010-03-16,1.9680000000000002
2010-03-17,3.068
2010-03-18,2.049
2010-03-19,1.183
2010-03-20,1.276
2010-03-21,0.6759999999999999
2010-03-22,0.809
2010-03-23,2.16
2010-03-24,0.6940000000000001
2010-03-25,1.3130000000000002
2010-03-26,1.3940000000000001
2010-03-27,0.841
2010-03-28,0.88
2010-03-29,2.0780000000000003
2010-03-30,1.296
2010-03-31,1.034
2010-04-01,1.528
2010-04-02,1.483
2010-04-03,0.568
2010-04-04,0.569
2010-04-05,2.485
2010-04-06,1.061
2010-04-07,1.5719999999999998
2010-04-08,1.0
2010-04-09,0.938
2010-04-10,0.657
2010-04-11,0.545
2010-04-12,0.892
2010-04-13,0.747
2010-04-14,2.9360000000000004
2010-04-15,0.613
2010-04-16,0.882
2010-04-17,0.6829999999999999
2010-04-18,0.579
2010-04-19,1.2930000000000001
2010-04-20,0.6779999999999999
2010-04-21,1.239
2010-04-22,1.3230000000000002
2010-04-23,0.527
2010-04-24,0.62
2010-04-25,0.45
2010-04-26,0.701
2010-04-27,1.003
2010-04-28,0.51
2010-04-29,0.341
2010-04-30,0.8640000000000001
2010-05-01,0.529
2010-05-02,0.644
2010-05-03,0.44299999999999995
2010-05-04,0.414
2010-05-05,0.534
2010-05-06,1.3519999999999999
2010-05-07,1.402
